Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
course-pour-lapins-binky-de-12-pieds,Course pour lapins Binky de 12 pieds,"<h2>Description du Produit</h2>
<p>Offrez à vos lapins l'espace et la sécurité qu'ils méritent avec le 12ft Binky Rabbit Run, une enceinte spacieuse et robuste conçue pour favoriser leur bien-être. Fabriqué en bois résistant aux intempéries et doté d'un maillage métallique sécurisé, cet enclos assure un environnement sûr tout en permettant à vos amis à fourrure de courir et explorer librement. Sa conception pratique facilite l'entretien et le transport, tandis que sa capacité généreuse convient parfaitement à plusieurs lapins ou aux races plus grandes. Idéal pour les propriétaires soucieux de la santé et de la sécurité de leurs animaux, ainsi que pour les refuges qui recherchent des solutions d'hébergement flexibles et durables.</p><ul>
  <li>🏃‍♂️ <strong>Environnement spacieux :</strong> Offre suffisamment d'espace pour que les lapins puissent exercer et explorer, favorisant ainsi une meilleure santé physique.</li>
  <li>🔒 <strong>Sécurité garantie :</strong> Le grillage robuste empêche les prédateurs d'entrer tout en gardant vos animaux en sécurité.</li>
  <li>🌦️ <strong>Durabilité :</strong> Les matériaux résistants aux intempéries assurent la longévité et nécessitent peu d'entretien, quelles que soient les conditions extérieures.</li>
  <li>🧹 <strong>Simplicité d'utilisation :</strong> Conçu pour un accès facile, ce qui simplifie le nettoyage et le déplacement de l'enclos selon les besoins.</li>
</ul><h2>Caractéristiques techniques</h2>
<ul>
  <li>
<strong>Taille :</strong> 12 pieds de longueur</li>
  <li>
<strong>Matériaux :</strong> Bois durable et résistant aux intempéries, treillis métallique sécurisé</li>
  <li>
<strong>Poids :</strong> [Inclure le poids si disponible]</li>
  <li>
<strong>Caractéristiques technologiques :</strong> Conception à accès facile pour l'entretien, construction portable</li>
  <li>
<strong>Capacité :</strong> Convient pour plusieurs lapins</li>
  <li>
<strong>Compatibilité :</strong> Peut être utilisé avec des accessoires supplémentaires comme des maisons pour lapins ou des jouets</li>
</ul>",Home & Roost,,Rabbit Run,"12ft rabbit run, rabbit run, run",false,Title,Default Title,,,,,,,,12FT-BINKY-RUN,18000.0,shopify,100,continue,manual,29.90,0.00,true,true,"",https://cdn.shopify.com/s/files/1/0901/7730/7009/files/5f2ffbc3911d06f78b86a621b37fd744.jpg?v=1750001052,1,12ft Binky Rabbit Run,false,,,,,,,,,,,,,,,kg,,,active
course-pour-lapins-binky-de-12-pieds,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0901/7730/7009/files/5c62aaf8d139e2351ed48bcfc43f27a5.jpg?v=1750001052,2,12ft Binky Rabbit Run,,,,,,,,,,,,,,,,,,,
course-pour-lapins-binky-de-12-pieds,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0901/7730/7009/files/6bb8d1e4e89c18ce8ebb0ff80b0ebd44.jpg?v=1750001052,3,12ft Binky Rabbit Run,,,,,,,,,,,,,,,,,,,
course-pour-lapins-binky-de-12-pieds,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0901/7730/7009/files/d99db5c0ab9397dff1ae1b27517c66e8.jpg?v=1750001053,4,12ft Binky Rabbit Run,,,,,,,,,,,,,,,,,,,
course-pour-lapins-binky-de-12-pieds,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0901/7730/7009/files/ba006970beaeca9c098aa9e634930e01.jpg?v=1750001053,5,12ft Binky Rabbit Run,,,,,,,,,,,,,,,,,,,
course-de-lapin-binky-de-1-80-m,"Course de lapin Binky de 1,80 m","<h2>Description du Produit</h2>
<p>Découvrez le 6ft Binky Rabbit Run, l'enclos extérieur idéal pour vos lapins, alliant espace généreux et sécurité optimale. Conçu en bois résistant aux intempéries et grillage solide, il offre une protection durable contre les prédateurs tout en permettant à vos compagnons de jouer librement. Facile à monter et à déplacer, ce parc convient à toutes les races de lapins et s'intègre parfaitement dans votre jardin ou cour. Offrez à vos lapins un environnement stimulant qui favorise leur santé physique et mentale, tout en vous assurant une tranquillité d'esprit grâce à sa conception robuste et fiable.</p><ul>
  <li>🐇 Offre un espace généreux pour que les lapins puissent s'exercer, favorisant leur santé physique et bien-être mental.</li>
  <li>🌦️ Matériaux résistants aux intempéries garantissant durabilité et protection continue contre les éléments.</li>
  <li>🔒 Maille métallique sécurisée protégeant les lapins des prédateurs tout en offrant une visibilité claire aux propriétaires.</li>
  <li>🔧 Design facile d'accès permettant une installation et un déplacement aisés dans différents espaces extérieurs.</li>
</ul><h2>Caractéristiques techniques</h2>
<ul>
  <li>
<strong>Taille :</strong> 6 pieds de longueur</li>
  <li>
<strong>Matériaux utilisés :</strong> Cadre en bois résistant aux intempéries, grillage métallique sécurisé</li>
  <li>
<strong>Poids :</strong> [Insérer le poids spécifique si disponible]</li>
  <li>
<strong>Caractéristiques technologiques :</strong> Conception facile à assembler avec des composants mobiles pour plus de commodité</li>
  <li>
<strong>Compatibilité :</strong> Convient à diverses races de lapins</li>
</ul>",Home & Roost,,Rabbit Run,"6ft rabbit run, rabbit run, run",false,Title,Default Title,,,,,,,,6FT-BINKY-RUN,12000.0,shopify,100,continue,manual,29.90,0.00,true,true,"",https://cdn.shopify.com/s/files/1/0901/7730/7009/files/2138d690c3a9842fc90d5f0951f52a6f.jpg?v=1750001040,1,6ft Binky Rabbit Run,false,,,,,,,,,,,,,,,kg,,,active
course-de-lapin-binky-de-1-80-m,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0901/7730/7009/files/2f565e3c6f809c0a796e0915d8283b69.jpg?v=1750001041,2,6ft Binky Rabbit Run,,,,,,,,,,,,,,,,,,,
course-de-lapin-binky-de-1-80-m,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0901/7730/7009/files/c4b3f6889586d041ae21054dca326246.jpg?v=1750001041,3,6ft Binky Rabbit Run,,,,,,,,,,,,,,,,,,,
course-de-lapin-binky-de-1-80-m,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0901/7730/7009/files/28611bf85fee1b9853c6bde31b22d436.jpg?v=1750001041,4,6ft Binky Rabbit Run,,,,,,,,,,,,,,,,,,,
course-de-lapin-binky-de-1-80-m,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0901/7730/7009/files/6b04b70f583e9e3e6e5503d6cdb3a15e.jpg?v=1750001041,5,6ft Binky Rabbit Run,,,,,,,,,,,,,,,,,,,
